Sample,Tissue_Source,Myxospore_Density,SD,Counter
CONT-0709,Right,8928.6,,Daly
CONT-0709,Left,0.0,0.0,Snyder
CONT-0709,Right,70721.4,,Snyder
S2-0708,Left,940186.2,215272.5,Snyder
S2-0708,Right,992339.8,49241.4,Daly
S2-0722,Left,655976.7,51538.4,Snyder
S2-0722,Right,929532.6,87637.2,Daly
S4-0701,Left,503889.7,87513.2,Snyder
S4-0701,Right,713788.3,24620.7,Daly
S4-0705,Left,1696299.0,141113.5,Snyder
S4-0705,Right,2401129.9,474400.7,Daly
S4-0707,Left,1026785.7,88388.3,Snyder
S4-0707,Right,580357.1,88388.4,Daly
S430-0801,Left,1634754.3,12772.9,Snyder
S430-0801,Right,2399351.5,555287.5,Snyder
S430-0805,Left,1969914.0,177283.2,Snyder
S430-0805,Right,2317942.9,92900.7,Snyder
S430-0812,Left,1802367.3,12681.0,Snyder
S430-0812,Right,1092143.9,64896.0,Snyder
S430-1204,Left,998946.9,185444.3,Snyder
S430-1204,Right,528295.0,12663.1,Snyder
S430-1206,Left,864835.9,12608.9,Snyder
S430-1206,Right,321691.0,90988.0,Snyder
S430-1208,Left,363263.8,39517.9,Snyder
S430-1208,Right,147929.0,78451.2,Snyder
