Sample,Location,Tissue Source,Myxospore_Density,Counter
S2_0701,Left,Surr_area,1762820.5,Snyder
S2_0701,Left,Surr_area,1745014.2,Snyder
S2_0701,Right,Plug,1588983.1,Daly
S2_0701,Right,Plug,1959745.8,Daly
S2_0703,Left,Surr_area,285306.7,Snyder
S2_0703,Left,Surr_area,124821.7,Snyder
S2_0703,Right,Plug,174094.7,Daly
S2_0703,Right,Plug,69637.9,Daly
S2_0704,Left,Surr_area,1016405.1,Snyder
S2_0704,Left,Surr_area,1087731.8,Snyder
S2_0704,Right,Plug,1083096.6,Daly
S2_0704,Right,Plug,1118608.0,Daly
S2_0705,Left,Surr_area,4806286.5,Snyder
S2_0705,Left,Surr_area,4404239.8,Snyder
S2_0705,Right,Plug,3982930.3,Daly
S2_0705,Right,Plug,5156472.3,Daly
S2_0707,Left,Surr_area,249643.4,Snyder
S2_0707,Left,Surr_area,267475.0,Snyder
S2_0707,Right,Plug,441384.2,Daly
S2_0707,Right,Plug,211864.4,Daly
S2_0708,Left,Surr_area,787965.6,Snyder
S2_0708,Left,Surr_area,1092406.9,Snyder
S2_0708,Right,Plug,957520.9,Daly
S2_0708,Right,Plug,1027158.8,Daly
S2_0709,Left,Surr_area,1242897.7,Snyder
S2_0709,Left,Surr_area,1154119.3,Snyder
S2_0709,Right,Plug,1727208.0,Daly
S2_0709,Right,Plug,1584757.8,Daly
S2_0710,Left,Surr_area,873362.4,Snyder
S2_0710,Left,Surr_area,800582.2,Snyder
S2_0710,Right,Plug,811001.4,Daly
S2_0710,Right,Plug,881523.3,Daly
S2_0711,Left,Surr_area,1719197.7,Snyder
S2_0711,Left,Surr_area,1414756.4,Snyder
S2_0711,Right,Plug,264084.5,Daly
S2_0711,Right,Plug,387323.9,Daly
S2_0712,Left,Surr_area,213675.2,Snyder
S2_0712,Left,Surr_area,160256.4,Snyder
S2_0712,Right,Plug,52891.4,Daly
S2_0712,Right,Plug,52891.4,Daly
S2_0713,Left,Surr_area,588445.1,Snyder
S2_0713,Left,Surr_area,731098.4,Snyder
S2_0713,Left,Surr_area,1052068.5,Snyder
S2_0713,Right,Plug,957446.8,Daly
S2_0713,Right,Plug,975177.3,Daly
S2_0714,Left,Surr_area,217076.7,Snyder
S2_0714,Left,Surr_area,90448.6,Snyder
S2_0714,Right,Plug,124643.9,Daly
S2_0714,Right,Plug,71225.1,Daly
S2_0715,Left,Surr_area,1276595.7,Snyder
S2_0715,Left,Surr_area,1613475.2,Snyder
S2_0715,Right,Plug,1836158.2,Daly
S2_0715,Right,Plug,1606638.4,Daly
S2_0716,Left,Surr_area,273722.6,Snyder
S2_0716,Left,Surr_area,364963.5,Snyder
S2_0716,Right,Plug,387323.9,Daly
S2_0716,Right,Plug,563380.3,Daly
S2_0717,Left,Surr_area,2641099.9,Snyder
S2_0717,Left,Surr_area,3111432.7,Snyder
S2_0717,Right,Plug,2154558.4,Daly
S2_0717,Right,Plug,2297008.5,Daly
S2_0718,Left,Surr_area,1744186.0,Snyder
S2_0718,Left,Surr_area,1308139.5,Snyder
S2_0718,Right,Plug,1788243.6,Daly
S2_0718,Right,Plug,1522662.9,Daly
S2_0719,Left,Surr_area,444444.4,Snyder
